"";"Mamiellales";"Ustilaginomycotina";"Dino-Group-I";"Bacillariophyta_X";"Crustacea";"Chloropicales";"Chlorellales";"Cryptomonadales";"Gymnodiniales";"Dino-Group-II";"Phaeocystales";"Pezizomycotina";"Pelagomonadales";"Strombidiida";"Chlorodendrales";"Pseudoscourfieldiales";"Choreotrichida";"Agaricomycotina";"Dino-Group-III";"Annelida_X";"NA";"MAST-7B";"Picozoa_XX";"Strombidiida_F";"CONThreeP_X";"MAST-4A";"Pucciniomycotina";"Ulvales-relatives";"Dinophyceae_X";"MAST-4E";"Katablepharidales";"MAST-4B";"MAST-7A";"Prasinodermales";"Tintinnida";"MAST-3F";"Dolichomastigales";"MAST-7C";"Labyrinthulida";"Thraustochytrida";"MAST-2B";"Ctenophora_X";"Strombidiida_G";"MAST-3E";"Saccharomycotina";"Chrysophyceae_X";"Peridiniales";"Prymnesiales";"MAST-4C";"Telonemia_XX";"Cryptomycotina";"Porifera_X";"Pyramimonadales";"Prorocentrales";"MAST-1B";"Scuticociliatia_1";"Parmales";"Ebriida";"Pirsonia_Clade_X";"Labyrinthulomycetes_X";"Anoecales";"Filosa-Thecofilosea_X";"Cryptomonadales:nucl";"Pterocystida";"Nemertea_X";"Embryophyceae_X";"Cnidaria_X";"MAST-7D";"Polyplacophora";"Dictyochophyceae_X";"Bicoecales";"MAST-1C";"Bryozoa_X";"MAST-3D";"Haptoria_4";"Variosea_X";"Cryomonadida";"Torodiniales";"MAST-9C";"Urochordata_X";"MOCH-3_X";"MAST-8A";"MAST-9D";"MAST-12A";"Rotifera_X";"MAST-11_X";"MAST-12E";"Chlorarachnida";"Litostomatea_X";"Suessiales";"ATCC50593-Flamella-WIM80-lineage";"Acanthoecida";"MAST-4D";"Corallinales";"Suctoria";"Chytridiomycotina";"CONTH_8_X";"MAST-10_X";"MAST-12B";"Strombidiida_B";"Gigartinales";"Stramenopiles_XXX";"Filosa-Imbricatea_X";"Gelidiales";"RAD-B_X";"Echinodermata_X";"Syracosphaerales";"MAST-3J";"Ellobiopsidae_X";"Pyrenomonadales";"MAST-2D";"Turbellaria";"MAST-6_X";"Marimonadida";"Craniata_X";"Colaconematales";"Thalassomycetales";"Prymnesiophyceae_Clade_D";"Chlorarachniophyceae_X";"MOCH-2_X";"Craspedida";"MAST-1A";"Ventricleftida";"MAST-3I";"Ceramiales";"Cyrtophoria_7";"MOCH-1_X";"Haptophyta_Clade_HAP3_X";"Bonnemaisoniales";"Ichthyosphonida";"MAST-8B";"Ulvophyceae_X";"Oltmansiellopsidales";"Isochrysidales";"RAD-A_X";"Gonyaulacales";"Haptoria_5";"Dino-Group-V";"Oomycota_X";"Prymnesiophyceae_Clade_E";"Rhodymeniales";"Apicomplexa_XX";"MAST-8E";"Nassophorea_X";"Prasino-Clade-9_X";"Perkinsida_X";"Bivalvia";"Cyrtophoria_8";"Dino-Group-IV";"MAST-3K";"Ulotrichales";"Thaumatomonadida";"Stramenopiles_X-Group-2_X";"MAST-3L";"Prymnesiophyceae_Clade_F";"Oblongichytrida";"Colpodellida";"Planomonadidae";"MAST-8C";"Peritrichia_2";"Cyrtophoria_1";"Halymeniales";"Apusomonadidae_Group-2B";"MOCH-5_X";"Haptophyta_Clade_HAP5_X";"Prymnesiophyceae_X";"MAST-25_X";"MAST-12_X";"OLIGO5";"Chlamydomonadales";"Chromadorea";"Nassellaria";"MAST-9A";"Dinophysiales";"Amphifilida";"Strombidiida_D";"MAST-3C";"Nolandida";"Gracilariales";"MOCH-4_X";"Entoprocta_X";"Prasino-Clade-VIII_X";"Apusomonadidae_Group-1_X";"MAST-1D";"Leptomyxida";"Echinamoebida";"Vampyrellida";"Cyrtophoria_5";"Hypotrichia";"MAST-8D";"Cryptofilida";"Haptophyta_Clade_HAP4_X";"Cyrtophoria_2";"Monothalamids_Clade-C"
"H1_2018.02";26299;2008;1039;334;37;110;75;609;614;2548;34;0;182;412;38;89;1039;0;253;904;0;473;246;9;40;46;1;68;673;69;307;11;82;31;33;0;226;61;18;16;19;0;0;12;0;196;139;227;22;74;0;429;15;65;31;95;62;0;0;0;36;9;45;0;0;11;12;27;0;67;25;21;46;0;0;0;27;0;0;0;0;21;6;49;0;29;0;68;4;40;0;0;8;31;6;0;0;19;3;0;0;0;2;22;0;0;0;0;0;14;0;0;5;0;0;69;0;0;0;0;0;0;0;0;0;0;12;0;0;5;0;0;0;4;0;0;0;0;10;0;6;0;4;3;0;0;46;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H1_2018.04";18633;281;3212;137;2485;423;74;889;698;4109;145;0;1156;869;0;30;684;0;471;440;0;148;352;90;47;473;0;46;178;228;18;26;245;31;0;86;118;0;7;58;17;45;241;0;0;172;452;252;5;72;0;177;25;195;63;0;102;0;0;21;3;3;0;6;0;0;476;0;25;83;0;11;19;0;0;43;34;45;0;89;72;22;0;9;0;6;0;6;17;6;0;13;21;57;16;26;0;20;0;71;23;0;25;26;128;0;0;0;57;0;8;0;0;13;9;0;61;28;5;0;9;13;0;0;0;0;11;22;0;0;0;0;0;0;9;0;9;11;0;0;5;0;5;18;0;0;9;0;5;0;0;0;0;11;0;6;0;0;6;0;0;3;0;0;0;0;5;0;30;0;0;15;0;0;0;4;5;0;0;0;0;0;0;8;0;0;0;0;0;2;0;0;0;0
"H2_2017.04";18359;3482;945;70;45;27;82;445;235;8861;1226;8;157;272;0;31;48;32;252;50;0;495;873;24;18;127;0;888;182;139;0;7;182;14;65;0;8;29;6;38;50;0;139;84;38;94;331;348;0;79;472;0;450;148;54;12;179;0;12;0;293;0;0;0;57;0;21;0;0;48;0;12;0;0;0;0;91;9;0;0;27;14;51;43;0;0;0;12;42;0;0;0;11;0;37;58;0;0;39;0;0;0;0;0;0;14;14;0;0;0;5;0;0;0;53;0;0;0;4;0;0;0;0;0;0;6;29;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;53;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H2_2018.02";22580;864;1087;262;23;248;91;984;2033;2821;58;0;139;2032;378;128;658;0;502;92;0;728;188;36;195;63;2;14;1048;122;199;17;124;22;55;0;200;99;7;19;21;0;12;0;0;235;258;231;23;89;0;181;71;139;52;127;75;0;0;7;21;7;120;0;0;5;9;53;50;117;8;38;26;22;45;0;21;10;0;6;0;45;11;49;0;43;0;61;34;98;0;37;11;0;4;0;0;20;5;25;0;0;0;0;0;0;0;0;0;15;0;0;8;0;0;10;0;0;0;0;0;38;0;14;0;0;0;0;0;8;12;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H2_2018.04";18190;103;3545;170;1569;380;75;1054;1066;4244;115;0;1432;635;0;27;302;0;517;456;0;172;333;22;30;341;0;39;342;210;24;22;207;51;5;86;98;0;12;34;23;0;137;0;0;209;621;275;4;86;0;207;29;255;57;0;65;0;0;15;10;0;0;5;0;0;570;0;29;56;0;27;72;0;0;0;51;64;12;67;64;17;0;2;0;0;0;1;8;7;0;55;14;65;22;53;0;17;5;107;42;0;39;16;69;14;0;11;43;0;11;0;0;0;11;6;39;18;0;0;22;10;0;0;0;0;0;8;0;0;0;0;0;0;12;0;0;25;0;0;0;0;12;19;0;0;14;0;15;0;0;0;0;12;0;8;0;0;4;0;0;0;0;0;0;0;7;0;48;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H3_2017.04";16192;11314;1635;37;0;60;95;1137;176;2232;389;90;323;293;13;97;94;103;234;904;0;415;697;21;8;152;26;1084;26;190;0;10;273;31;0;0;12;43;0;33;15;0;22;183;125;104;254;404;0;125;12;99;19;38;199;8;10;0;0;12;6;0;0;3;49;42;132;0;232;63;0;17;0;0;0;0;38;6;0;15;25;15;89;21;0;0;0;16;0;0;0;32;9;48;10;0;0;0;0;45;30;0;0;0;0;102;0;0;0;0;0;0;0;0;71;0;20;0;0;22;0;29;0;0;0;11;41;0;0;7;0;0;0;0;0;0;0;0;13;0;0;0;0;13;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H3_2018.02";27191;1292;841;493;51;228;104;830;1543;1276;44;0;161;1597;191;182;80;0;224;28;0;753;156;0;126;46;150;0;518;90;160;41;0;39;59;0;162;37;9;7;13;0;0;11;7;204;119;325;29;110;0;32;71;47;24;85;112;0;0;16;39;28;45;0;0;679;4;42;0;80;0;41;0;0;0;0;16;11;0;10;43;18;44;36;0;37;0;58;0;8;0;9;10;0;0;0;0;15;8;12;0;7;10;0;0;0;0;0;0;13;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;34;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H3_2018.04";17946;767;4161;174;3743;590;89;1148;705;2932;121;0;980;925;0;50;1194;13;419;136;0;99;292;65;44;321;0;13;208;225;44;22;135;64;7;59;130;0;19;44;22;73;281;0;0;227;415;150;0;71;0;75;27;110;76;0;29;0;0;0;0;0;0;9;63;0;419;0;0;62;0;14;14;0;0;0;21;42;0;41;44;26;10;0;3;0;0;2;42;14;4;30;10;23;24;39;0;15;0;38;10;0;13;15;31;0;0;0;36;0;0;0;0;0;11;0;33;11;0;0;11;6;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;25;0;0;0;24;0;13;0;0;0;0;25;0;0;0;0;0;0;0;0;0;7;0;4;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;10;0;0
"H4_2017.04";17244;4726;1548;171;26;103;104;1428;115;1575;518;26;703;186;0;159;51;168;371;299;0;363;879;0;0;120;21;5144;85;111;7;8;110;49;0;29;18;71;9;22;17;0;57;117;31;89;433;579;0;123;3;84;15;45;134;0;66;0;0;0;22;0;0;0;905;0;132;0;82;81;0;0;0;0;0;42;36;11;13;0;40;23;44;25;0;0;0;15;0;57;0;11;13;93;0;0;0;0;7;30;0;0;0;0;0;149;0;0;6;0;0;0;0;0;26;0;6;0;6;48;0;21;0;0;0;90;44;7;0;9;0;74;72;0;0;0;0;0;12;0;0;0;0;9;0;0;0;12;0;0;75;0;0;0;0;22;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0
"H4_2018.02";27068;1163;802;463;38;180;157;688;1761;1754;42;0;174;1501;164;206;216;0;181;30;0;925;184;85;83;48;6;10;801;113;107;18;186;56;38;0;241;121;0;10;17;0;4;0;0;340;140;230;34;124;0;27;22;108;9;11;112;0;0;0;18;0;43;0;0;0;0;48;0;69;5;17;12;0;5;0;0;0;0;17;0;30;28;38;0;24;0;23;0;22;0;5;11;0;0;0;0;23;3;0;0;0;0;0;0;0;0;0;0;13;13;0;11;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;16;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H4_2018.04";18816;164;3204;161;329;2732;276;1543;364;2577;293;0;2914;1131;0;46;414;0;613;21;0;187;207;895;97;410;0;0;229;360;8;37;155;84;6;69;206;36;0;59;13;0;156;0;0;273;152;275;7;198;0;46;75;18;93;0;122;0;0;28;0;0;0;7;0;0;141;0;0;86;0;34;2;0;0;0;14;14;19;10;31;35;15;0;0;5;0;20;0;0;0;96;8;27;33;28;0;17;13;26;0;0;0;4;0;0;11;0;8;0;10;0;0;0;5;0;0;18;0;47;28;14;0;0;0;0;14;13;14;0;21;0;0;0;13;0;0;11;0;7;0;0;0;0;0;0;0;0;0;23;0;0;0;9;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P1_2018.02";15727;4710;1953;1417;10;1672;1639;891;354;1705;57;0;994;3655;11;89;1189;0;528;111;0;35;62;126;1301;76;21;0;187;40;274;10;0;32;42;0;64;15;4;38;14;0;18;0;0;98;82;44;53;44;0;81;0;49;11;41;36;0;0;0;0;0;57;0;0;0;9;0;0;43;0;18;28;0;54;0;0;0;0;0;0;12;0;17;0;50;0;30;0;0;0;17;33;0;22;0;36;11;0;18;0;0;0;0;0;0;0;0;0;16;9;0;0;0;0;0;0;10;0;0;0;0;0;17;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P1_2018.04";1189;6699;1005;10762;971;334;978;274;2103;1541;140;14;162;645;119;332;195;124;192;1227;0;325;308;43;53;41;0;64;512;61;29;10;287;268;169;36;76;0;226;247;9;5;32;54;5;706;609;108;0;77;147;299;45;166;6;19;204;17;65;119;121;50;0;0;39;0;520;0;494;10;7;68;0;0;0;0;221;5;0;7;16;11;6;41;0;0;25;0;16;9;0;221;0;475;451;0;0;0;0;0;529;0;0;158;0;87;0;62;0;0;24;0;0;0;158;61;0;0;0;0;0;0;0;0;462;56;0;0;220;21;0;0;0;0;0;0;49;0;175;0;108;30;0;17;0;0;27;44;0;0;0;0;0;0;35;69;0;0;0;25;9;20;15;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;13;0;0;0;0;0;7;9;0;0;0;0;0
"P2_2018.02";15273;2411;2135;1268;103;1151;1550;1590;920;3359;67;0;971;1921;590;232;686;0;565;0;0;81;167;152;1408;78;26;0;660;64;377;10;0;44;181;0;216;20;0;50;62;0;11;0;0;210;186;186;102;130;0;0;26;145;16;166;38;0;0;0;72;9;69;0;0;35;0;22;0;46;0;58;0;0;16;0;0;14;0;0;28;21;0;50;0;64;0;65;0;11;0;41;41;0;4;0;11;11;6;9;0;0;0;0;0;0;0;11;0;11;16;0;0;0;0;0;0;0;0;0;20;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P3_2018.02";10971;1326;1961;1963;15;466;501;1504;1403;2344;31;0;654;2233;8608;145;1144;0;458;0;0;66;150;851;1364;64;1;0;312;34;163;0;0;44;123;0;183;17;5;26;98;0;0;0;0;80;128;167;86;119;0;8;0;82;11;37;12;0;0;5;319;0;74;0;0;0;0;0;0;39;0;26;0;0;138;0;9;5;0;0;0;22;0;30;0;79;0;30;0;7;0;32;34;0;3;0;90;12;2;7;0;3;11;0;0;0;0;0;0;57;36;0;5;0;0;0;0;10;0;0;15;0;0;45;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P4_2018.02";14609;2147;2974;1757;13;991;820;824;796;3372;38;0;727;3242;186;144;426;0;442;0;0;92;149;875;2619;92;2;0;734;59;358;14;0;65;35;0;180;22;12;28;46;0;14;0;0;121;139;94;123;82;0;5;0;98;10;0;18;0;0;10;0;0;47;0;0;0;0;25;0;57;0;31;0;0;54;0;14;7;0;0;0;23;0;76;0;56;0;24;0;9;0;30;58;0;16;0;56;16;0;43;0;4;7;0;0;0;0;0;0;47;23;0;0;0;0;0;0;0;0;0;18;0;0;20;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
